0,-1,9.6651
0.04,-1,9.6877
0.08,-1,9.6591
0.12,-1,9.7947
0.16,-1,9.7422
0.2,-1,9.7601
0.24,-1,9.7502
0.28,-1,9.7935
0.32,-1,9.7869
0.36,-1,9.7831
0.4,-1,9.7807
0.44,-1,9.7906
0.48,-1,9.8269
0.52,-1,9.7342
0.56,-1,9.6749
0.6,-1,9.7194
0.64,-1,9.8269
0.68,-1,9.8199
0.72,-1,9.8124
0.76,-1,9.7861
0.8,-1,9.8028
0.84,-1,9.8043
0.88,-1,9.7921
0.92,-1,9.7887
0.96,-1,9.7918
1,-1,9.7853
1.04,-1,9.7907
1.08,-1,9.778
1.12,-1,9.793
1.16,-1,9.7933
1.2,-1,9.7784
1.24,-1,9.7956
1.28,-1,9.7932
1.32,-1,9.7927
1.36,-1,9.7796
1.4,-1,9.7847
1.44,-1,9.7914
1.48,-1,9.7817
1.52,-1,9.7837
1.56,-1,9.7545
1.6,-1,9.8005
1.64,-1,9.802
1.68,-1,9.8208
1.72,-1,9.8156
1.76,-1,9.7907
1.8,-1,9.7901
1.84,-1,9.7869
1.88,-1,9.792
1.92,-1,9.7956
1.96,-1,9.7874
2,-1,9.7842
2.04,-1,9.7807
2.08,-0.97943,9.8611
2.12,-0.94848,9.9145
2.16,-0.92788,8.6265
2.2,-0.89694,9.482
2.24,-0.87634,9.525
2.28,-0.80416,9.7768
2.32,-0.75262,9.6149
2.36,-0.70107,9.7556
2.4,-0.64953,9.7576
2.44,-0.62889,9.7399
2.48,-0.59798,9.738
2.52,-0.56703,9.7364
2.56,-0.53612,9.7546
2.6,-0.5258,9.7783
2.64,-0.47426,9.7973
2.68,-0.45363,9.7938
2.72,-0.42271,9.7934
2.76,-0.38148,9.8083
2.8,-0.38148,9.7934
2.84,-0.32994,9.7873
2.88,-0.32994,9.8244
2.92,-0.30931,9.7965
2.96,-0.26807,9.8143
3,-0.17527,9.7986
3.04,-0.20621,9.8223
3.08,-0.16498,10.162
3.12,-0.16498,10.352
3.16,-0.17527,10.079
3.2,-0.16498,9.8937
3.24,-0.15467,9.8226
3.28,-0.12372,9.8117
3.32,-0.082492,9.8367
3.36,-0.051576,9.8275
3.4,-0.072176,9.8382
3.44,-0.020631,9.8575
3.48,0,9.8039
3.52,0,9.7953
3.56,0,9.7765
3.6,0,9.799
3.64,0,9.7862
3.68,0,9.7717
3.72,0,9.7778
3.76,0,9.7945
3.8,0,9.798
3.84,0,9.7614
3.88,0,9.7996
3.92,0,9.7773
3.96,0,9.7964
4,0,9.7972
4.04,0,9.7948
4.08,0,9.7921
4.12,0,9.7969
4.16,0,9.7687
4.2,0.072146,9.7813
4.24,0.14432,9.7959
4.28,0.15464,9.827
4.32,0.16495,9.7452
4.36,0.17524,9.7808
4.4,0.2165,9.747
4.44,0.19587,9.887
4.48,0.2165,9.8076
4.52,0.2165,9.8014
4.56,0.2165,9.8364
4.6,0.2165,9.7243
4.64,0.2165,9.7514
4.68,0.2165,9.7702
4.72,0.2165,9.7866
4.76,0.20618,9.7337
4.8,0.20618,9.7603
4.84,0.20618,9.8923
4.88,0.24741,9.7229
4.92,0.24741,9.8136
4.96,0.24741,9.8052
5,0.29896,9.8931
5.04,0.27833,9.7163
